編號,韓文,羅馬拼音,中文,英文
4001,잡아당기다,jabadanggida,拉、拉扯、拽,Pull
4002,점검,jeomgeom,檢查、檢驗、盤點,"inspection,examination"
4003,정원,jeongwon,庭院、花園,Garden
4004,조기,jogi,早期、初期,"An early stage,period"
4005,존경하다,jongyeonghada,尊敬、敬重,Respect
4006,종,jong,鐘、鈴鐺 / 奴僕,A bell
4007,종소리,jongsori,鐘聲、鈴聲,The sound of a bell
4008,중순,jungsun,中旬,The second 10 days in a month
4009,지각,jigak,知覺、感官 / 遲到,"perception,consciousness"
4010,직선,jikseon,直線,A straight line
4011,참외,chamoe,香瓜、東方甜瓜,A melon
4012,체하다,chehada,假裝、裝作 / 積食,"pretend,feign"
4013,체험하다,cheheomhada,體驗、親身經歷,"To experience, to undergo"
4014,초대하다,chodaehada,邀請,To invide
4015,총,chong,槍、槍支,A gun
4016,칭찬하다,chingchanhada,稱讚、表揚,To praise somebody
4017,코치,kochi,教練,Coach
4018,통일하다,tongilhada,統一、一致,"To unify, consolidate"
4019,패션,paesyeon,時尚、流行時裝,Fashion
4020,프린터,peurinteo,印表機、打印機,Printer
4021,피디,pidi,節目製作人、PD、導演,"PD, TV Producer, Program Director"
4022,하나하나,hanahana,一個個、逐個、一一,Each individual piece
4023,학위,hagwi,學位,Academic rank
4024,회의,hoeui,懷疑、疑慮,"Doubt, skepticism"
4025,가로등,garodeung,路燈、街燈,A street light
4026,감,gam,感受、感覺、情緒,Feelings
4027,개개인,gaegaein,個個人、每個人,Individuals or every person
4028,걷다,geotda,捲起、收起、結束（工作）,1) Roll back /up one’s sleeves 2)fold or furl up 3) finish work
4029,고집,gojip,固執、執拗,Persistence or stubborness
4030,금,geum,黃金、金子,Gold
4031,급격히,geupgyeokhi,急劇地、急速地,Be rapid or sudden
4032,기능,gineung,機能、技能、本領,Ability or capacity or skill
4033,기막히다,gimakhida,令人語塞、驚人、極好或極糟,Be at a loss for words
4034,나누어지다,nanueojida,被分開、分成（被動）,To become divided
4035,낙엽,nagyeop,落葉,Fallen dead leaves
4036,넘겨주다,neomgyeojuda,移交、轉交、讓出,Hand over
4037,논리적,nonrijeok,邏輯性的、合乎邏輯的,Logical
4038,다가서다,dagaseoda,走近、靠近、邁步接近,"Step up, go near to, come closer"
4039,대기하다,daegihada,等待機會、伺機而動 / 待命,Be ready for the opportunity
4040,대접,daejeop,款待、招待、待遇,Treatment
4041,말다,malda,捲起、捲成一團,"Roll up, convolve"
4042,맞은편,majeunpyeon,對面、正對面,The other side of THIS IS ONE WORD
4043,멋,meot,風度、時髦、帥氣,Smartness
4044,면,myeon,棉花、棉布,Cotton
4045,박,bak,宿、過夜（泊，住宿計量）,Staying the night
4046,밤하늘,bamhaneul,夜空,Night sky
4047,변명,byeonmyeong,辯解、藉口,"Explanation, vindication"
4048,보자기,bojagi,包袱布、包袱皮,"Wrapping cloth, cloth wrapper"
4049,부상,busang,負傷、受傷,"A wound,injury"
4050,분리하다,bunrihada,分離、分開,"To separate, break away from"
4051,붙들다,butdeulda,抓緊、揪住、抓住,"catch,seize,grasp"
4052,사들이다,sadeurida,收購、買進,"buy,purchase"
4053,상관없이,sanggwaneopsi,無關地、不管、不論,Without anything to do with
4054,새우,saeu,蝦、對蝦,"lobster,shrimp"
4055,선원,seonwon,船員、水手,"A crew, a ship’s company"
4056,설사,seolsa,腹瀉、拉肚子 / 即使,Diarrhea
4057,실망하다,silmanghada,失望,To disappoint
4058,심해지다,simhaejida,變得嚴重、加劇,Become deep and serious
4059,씨름,ssireum,摔角、摔跤,Wrestling
4060,아쉬움,aswium,遺憾、惋惜、依依不捨,Sense of missing
4061,앞길,apgil,前途、前路、前景,"The road ahead, outlook"
4062,약해지다,yakhaejida,變弱、衰弱,To become weak
4063,어젯밤,eojetbam,昨晚、昨夜,Last night
4064,엉망,eongmang,一團糟、亂七八糟,"A mess, in bad shape"
4065,여관,yeogwan,旅館、小客棧,"A hotel, an inn"
4066,여쭈다,yeojjuda,稟告、啟奏、請教（敬語）,"Tell a superior, inform"
4067,연습하다,yeonseuphada,練習、操練,"To practice,exercise"
4068,연출하다,yeonchulhada,執導、演出、呈現,"Produce, present (a play)"
4069,열중하다,yeoljunghada,熱衷、專心致志,"Enthusiasm, zeal"
4070,영웅,yeongung,英雄,"A hero, a great man"
4071,오,o,噢、啊（感嘆詞）,"Oh, ah!"
4072,유산,yusan,遺產,"An inheritence, property left behind"
4073,의도적,uidojeok,意圖性的、蓄意的,Purposefully
4074,이따금,ittageum,偶爾、時常,From time to time
4075,임신부,imsinbu,孕婦,An expectant mother
4076,장기적,janggijeok,長期的,Long-term
4077,재주,jaeju,才能、本領、伎倆,"ability,talent"
4078,전설,jeonseol,傳說,"A tradition, a legend"
4079,절,jeol,段落、節、條款,"clause,paragraph"
4080,젖,jeot,乳房、乳汁,The breasts
4081,조르다,joreuda,央求、纏著要 / 勒緊,"To tease, urge sb"
4082,주문하다,jumunhada,點餐、訂購、吩咐,"To order, to request"
4083,주사,jusa,打針、注射,"A shot, an injection"
4084,지겹다,jigyeopda,厭煩、膩煩,"To be tedious,tiring"
4085,짐작,jimjak,揣測、估計、猜想,"guess,conjecture"
4086,쫓겨나다,jjotgyeonada,被趕出、被開除（被動）,Chase away ; to fire from your job
4087,찢다,jjitda,撕碎、撕開,"Tear, rend, split"
4088,채널,chaeneol,頻道,Channel
4089,출근하다,chulgeunhada,上班,To go to work
4090,취소하다,chwisohada,取消、作廢,"To cancel, calloff"
4091,취업,chwieop,就業、求職,"Employment, finding a job"
4092,칠하다,chilhada,塗刷、上漆、粉刷,"Paint, coat"
4093,타오르다,taoreuda,燃燒起來、熊熊燃燒,"Blaze, light up"
4094,탁,tak,啪地、猛然 / 豁然,"(1) With a bang, with a snap (2) widely"
4095,평,pyeong,評價、評論、批評,A criticism
4096,평화롭다,pyeonghwaropda,和平、寧靜,To be peaceful
4097,표시,pyosi,表示、表達、展現,"A sign,signal"
4098,표시,pyosi,標示、標記、符號,"A sign, signal"
4099,하반기,habangi,下半年,The second half of the year
4100,한구석,hanguseok,一角、一個角落,"A corner, a nook"
4101,한하다,hanhada,僅限、局限於,"Limit, restrict"
4102,해답,haedap,解答、答案,"A solution to a problem, an answer to a question"
4103,해소하다,haesohada,消除、解決、解除,"To be dissolved, disorganized"
4104,허락하다,heorakhada,答應、允許、許可,"Consent, agree to"
4105,확립하다,hwakriphada,確立、樹立,"establish,settle,fix"
4106,확신하다,hwaksinhada,確信、深信,To be confident of
4107,흥분,heungbun,興奮、激動,"excitement,excitation"
4108,흥분하다,heungbunhada,興奮、激動起來,be/grow excited
4109,힘겹다,himgyeopda,吃力、費勁、難以承受,To be not strong enough to do
4110,감수성,gamsuseong,感受性、敏感性,Receptivity or susceptibility
4111,거들다,geodeulda,幫忙、協助、幫腔,Help or assist or lend
4112,건너편,geonneopyeon,對面,The opposite side
4113,경치,gyeongchi,景色、風景,A scene or scenery
4114,급속히,geupsokhi,急速地、迅速地,Rapidly or swiftly
4115,급증하다,geupjeunghada,急劇增加、激增,Surge or sudden rapid increase
4116,깔끔하다,kkalkkeumhada,俐落、整潔、乾淨,Be sleek and smart
4117,꼼꼼하다,kkomkkomhada,細緻、一絲不苟、周密,"very careful or meticulous, doing it in a very detailed manner"
4118,낮아지다,najajida,變低、降低,Become lower
4119,단순,dansun,單純、簡約,Simplicity
4120,대사,daesa,大使,an ambassador
4121,두세,duse,兩三個,Two or three (months)
4122,매,mae,棍棒、教鞭、皮鞭,"whip,rod,cane"
4123,먹고살다,meokgosalda,餬口、謀生,Make one’s living
4124,멎다,meotda,停止、停歇,Stop
4125,면담,myeondam,面談、晤談,An interview
4126,모집,mojip,募集、招募,Collection
4127,모퉁이,motungi,拐角、角落,Corner
4128,바구니,baguni,籃子、竹籃,Basket
4129,바싹,bassak,焦乾、緊緊地、徹底,Completely
4130,발달되다,baldaldoeda,獲得發展、發達（被動）,Be developed
4131,발음,bareum,發音,Pronunciation
4132,방울,bangul,鈴鐺,A bell
4133,보름,boreum,半個月、十五天 / 正月十五,"15days,the 15th day"
4134,봉지,bongji,紙袋、塑膠袋,Bag
4135,부딪히다,budithida,被撞擊、碰撞（被動）,Be bumped into
4136,비상,bisang,緊急、非常 / 飛翔,Emergency
4137,비서,biseo,秘書,Secretary
4138,뿌리치다,ppurichida,甩開、斷然拒絕,"Shake off, refuse"
4139,사업자,saeopja,經營者、企業家,Businessman
4140,상대편,sangdaepyeon,對方、對手,The other party
4141,세트,seteu,套裝、套件,Set
4142,소망,somang,願望、心願、期盼,"desire,wish,hope"
4143,수동적,sudongjeok,被動的,Passively
4144,술잔,suljan,酒杯,A glass for alcohol
4145,슬그머니,seulgeumeoni,悄悄地、暗暗地,Furtively
4146,시장,sijang,市長,Mayor
4147,시청률,sicheongryul,收視率,Popularity rating
4148,신문사,sinmunsa,報社,Newspaper company
4149,여군,yeogun,女兵、女軍人,A woman soldier
4150,연인,yeonin,戀人、情人,A sweetheart
4151,연장,yeonjang,延長、延期 / 工具,"Extension, prolongation"
4152,열흘,yeolheul,十天,Ten days
4153,예선,yeseon,預賽、預選,A preliminary match/election
4154,옥수수,oksusu,玉米,Corn
4155,원,won,圓形、圓圈,A circle
4156,은행나무,eunhaengnamu,銀杏樹,A ginko tree
4157,이웃집,iutjip,鄰居家,The neighbor’s house
4158,자부심,jabusim,自負心、自豪感,Pride
4159,장차,jangcha,將來、日後,"In the future, someday"
4160,재미없다,jaemieopda,沒趣、無聊,Boring
4161,저편,jeopyeon,那邊、那一方,"That side,direction"
4162,정신과,jeongsingwa,精神科,Psychiatry
4163,제도적,jedojeok,制度上的、制度性的,Systematic
4164,조절,jojeol,調節、調控,"regulation,adjustment"
4165,주거,jugeo,居住、住處,"residing,dwelling"
4166,주스,juseu,果汁,Juice
4167,준비되다,junbidoeda,被準備好（被動）,To be ready
4168,중단되다,jungdandoeda,中斷、暫停（被動）,"To be suspended,stopped"
4169,중요시하다,jungyosihada,重視、看重,Attach great importance to
4170,지점,jijeom,分店、分支機構,Branch store
4171,진단하다,jindanhada,診斷,To diagnose
4172,콜라,kolra,可樂,Cola
4173,타다,tada,領取、領到（工資/獎金）,"Get, receive, take your share of the money (회사에서 월급을 타다)"
4174,편견,pyeongyeon,偏見、成見,"A prejudice, a bias"
4175,플라스틱,peulraseutik,塑膠,Plastic
4176,환율,hwanyul,匯率,The exchange rate (money)
4177,활기,hwalgi,活力、朝氣,"Vigor, life, vitality"
4178,강사,gangsa,講師、教員,Instructor or teacher
4179,강수량,gangsuryang,降水量,How much rainfall
4180,교대,gyodae,交替、輪班,Alternation or change
4181,구청,gucheong,區廳、區公所,A ward or district office
4182,국내외,gungnaeoe,國內外,The inside and outside of a country or home and abroad
4183,금지되다,geumjidoeda,被禁止（被動）,To be forbidden or prohibited
4184,기도하다,gidohada,祈禱、禱告,To pray
4185,기성,giseong,既成、現存的,To be already existing or established
4186,깨뜨리다,kkaetteurida,打碎、砸碎,To break or crush
4187,꼼짝,kkomjjak,動彈（加否定表紋風不動）,Cannot move
4188,남학생,namhaksaeng,男學生,Male student
4189,농사일,nongsail,農活、農務,Farming
4190,농장,nongjang,農場,"A farm, plantation"
4191,데이트,deiteu,約會,Date
4192,마음가짐,maeumgajim,心態、心境,Mental attitude
4193,머리칼,meorikal,頭髮、髮絲,Hair
4194,모,mo,某、某某,"A certain person, mr. Jones"
4195,바퀴,bakwi,蟑螂,Cockroach
4196,번개,beongae,閃電,Lightning
4197,변화되다,byeonhwadoeda,被改變、發生變化（被動）,To be changed
4198,부러워하다,bureowohada,羨慕,"envy,be envious of"
4199,부재,bujae,不在、缺席 / 不存在,Absence
4200,사망,samang,死亡,Death
4201,생,saeng,生的、未煮熟的 / 生命,"1) raw,uncooked 2)living"
4202,서늘하다,seoneulhada,涼爽、涼颼颼,"Be cool,refreshing"
4203,성경,seonggyeong,聖經,The Bible
4204,소요되다,soyodoeda,需要、耗費（時間/費用）（被動）,Be needed
4205,소화하다,sohwahada,消化、領會,To digest
4206,순간적,sunganjeok,瞬間的、剎那的,"instanteous,momentary"
4207,시집가다,sijipgada,出嫁、嫁人,To take a husband
4208,시청,sicheong,市政府、市廳,City hall
4209,싶어지다,sipeojida,漸漸想、變得想,To come to want
4210,씌우다,ssuiuda,給...戴上（帽子/眼鏡）,Put a hat on somebody
4211,야간,yagan,夜間、夜晚,The night time
4212,엇갈리다,eotgalrida,錯開、交錯、不一致,"Cross, miss eachother"
4213,엷다,yeolda,薄、淡、淺,"Be thin, light"
4214,오락,orak,娛樂、消遣,Entertainment
4215,오른손,oreunson,右手,The right hand
4216,우아하다,uahada,優雅、高雅,"To be elegant,refined"
4217,이것저것,igeotjeogeot,這個那個、形形色色,"This and that, one thing and another"
4218,이슬,iseul,露水、露珠,"Dew, dewdrops"
4219,인간관계,ingangwangye,人際關係,Human relations
4220,장기간,janggigan,長期、長時間,For a long period
4221,저자,jeoja,作者、著者,"A writer,author"
4222,전선,jeonseon,前線、戰線 / 電線,The battle line
4223,정지,jeongji,停止、停頓,"stop,an interruption"
4224,제의하다,jeuihada,提議、建議,Make a suggestion
4225,조명,jomyeong,照明、燈光,"lighting,illumination"
4226,조화되다,johwadoeda,協調、融洽（被動）,"harmony,agreement"
4227,줄거리,julgeori,梗概、情節 / 枝梗,"A stalk, a stem"
4228,중단,jungdan,中斷、暫停,"interruption,suspension"
4229,차선,chaseon,車道、行車線 / 次選,A traffic lane
4230,착각하다,chakgakhada,產生錯覺、誤解,"To misunderstand, to deceive oneself, to be having illucinations"
4231,초상화,chosanghwa,肖像畫、畫像,"A portrait, a picture"
4232,출장,chuljang,出差,A business trip
4233,쿠데타,kudeta,政變,Coup d’etat (overthrow of the government)
4234,퇴근,toegeun,下班,"Leaving one’s office, coming home from work"
4235,특수성,teuksuseong,特殊性,"Particularity, distinctiveness"
4236,항공기,hanggonggi,航空器、飛機,An aircraft
4237,활발히,hwalbalhi,活躍地、積極地,"briskly,actively"
4238,회화,hoehwa,會話、對話,"Conversations, talk"
4239,흥미롭다,heungmiropda,有趣、引人入勝,To be interesting
4240,가져다주다,gajyeodajuda,送去、帶給,Take something to someone
4241,각오,gago,覺悟、思想準備,Readiness or preparation
4242,개방되다,gaebangdoeda,開放、對外開放（被動）,To be opened
4243,겨자,gyeoja,芥末,Mustard
4244,경고하다,gyeonggohada,警告、告誡,To warn
4245,경제학,gyeongjehak,經濟學,Economics
4246,골프,golpeu,高爾夫球,Golf
4247,관심사,gwansimsa,關注點、關心事項,A matter of concern and interest
4248,구별되다,gubyeoldoeda,被區別、區分開（被動）,To be separated andistinguished
4249,국사,guksa,國史（本國歷史） / 國事,The history of a country
4250,굳히다,guthida,使堅固、下定、鞏固,Harden or make hard
4251,귀국,gwiguk,回國、歸國,Returning to one’s home country
4252,그간,geugan,這段期間、其間,The while or during tha time
4253,그럴듯하다,geureoldeuthada,像模像樣、合情合理,Be plausible or specious or likely
4254,극작가,geukjakga,劇作家,A dramatist
4255,기,gi,旗幟、旗,A flag or a banner
4256,기울다,giulda,傾斜、偏向、傾注,To tilt or lean
4257,기적,gijeok,奇蹟、奇事,A miracle
4258,끌리다,kkeulrida,被吸引、被拖拽（被動）,To be drawn or pulled or dragged
4259,내보내다,naebonaeda,送出、放行、播出,"Let out, let go out"
4260,담,dam,圍牆、牆垣,"A wall, fence"
4261,따스하다,ttaseuhada,溫暖、溫馨,Feel warm
4262,말투,maltu,語氣、說話腔調,One’s way of talking
4263,명령어,myeongryeongeo,指令、指示語,Directive
4264,목욕탕,mogyoktang,澡堂、浴室,A bathhouse
4265,미끄러지다,mikkeureojida,滑倒、打滑、滑行,Slippery
4266,바닷물,badanmul,海水,Sea water
4267,변신,byeonsin,變身、轉變形象,"Disguise, transformation"
4268,부친,buchin,父親、家父,A father
4269,붙잡히다,butjaphida,被抓住、被逮住（被動）,Be caught
4270,브랜드,beuraendeu,品牌,Brand
4271,빨다,ppalda,洗（衣服）、洗滌,Wash the laundry
4272,사무,samu,事務、辦公,Office work
